activity_id,institution_id,source_id,experiment_id,frequency,realm,table_id,member_id,grid_label,variable_id,time_range,chunk_freq,platform,dimensions,cell_methods,standard_name,path
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,alb_sfc,201101-202012,10yr,,,ts,surface_albedo,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.201101-202012.alb_sfc.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,evap,201101-202012,10yr,,,ts,evaporation_rate,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.201101-202012.evap.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,hght,201101-202012,10yr,,,ts,height,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.201101-202012.hght.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,high_cld_amt,201101-202012,10yr,,,ts,high_cloud_amount,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.201101-202012.high_cld_amt.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,ice_mask,201101-202012,10yr,,,ts,fractional_amount_of_sea_ice,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.201101-202012.ice_mask.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,prec_conv,201101-202012,10yr,,,ts,Precipitation_rate_from_convection,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.201101-202012.prec_conv.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,precip,201101-202012,10yr,,,ts,Total_precipitation_rate,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.201101-202012.precip.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,prec_ls,201101-202012,10yr,,,ts,Precipitation_rate_from_strat_cloud,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.201101-202012.prec_ls.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,rh_ref,201101-202012,10yr,,,ts,relative_humidity_at_2_m,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.201101-202012.rh_ref.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,shflx,201101-202012,10yr,,,ts,sensible_heat_flux,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.201101-202012.shflx.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,slp_dyn,201101-202012,10yr,,,ts,sea-level_pressure,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.201101-202012.slp_dyn.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,slp,201101-202012,10yr,,,ts,sea_level_pressure,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.201101-202012.slp.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,slp_dyn,203101-204012,10yr,,,ts,sea-level_pressure,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.203101-204012.slp_dyn.nc
dev,,SPEAR,SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03,mon,atmos,,,,slp,203101-204012,10yr,,,ts,sea_level_pressure,/archive/a1r/SPEAR/SPEAR_c192_o1_Scen_SSP585_IC2011_K50_ens_01_03/pp_ens_01/atmos/ts/monthly/10yr/atmos.203101-204012.slp.nc
